Position,Team,W,D,L,GF,GA,GD,Pts,matches_played,points_per_match,goals_per_match,goals_against_per_match,Shots,xG,Goals,xG_per_shot,Goals_minus_xG,attack_score,defense_score,results_score,overall_score
1,Leicester City,23,12,3,68,36,32,81,38,2.1315789473684212,1.7894736842105263,0.9473684210526315,525,66.282170986,68,0.1262517542590476,1.717829014000003,0.9318181818181818,0.975609756097561,1.0,0.9722283813747229
2,Arsenal,20,11,7,65,36,29,71,38,1.868421052631579,1.7105263157894737,0.9473684210526315,583,65.08776943790001,65,0.11164282922452831,-0.08776943790000757,0.8636363636363636,0.975609756097561,0.8437499999999999,0.8892738359201773
3,Tottenham Hotspur,19,13,6,69,35,34,70,38,1.8421052631578947,1.8157894736842106,0.9210526315789473,656,62.3562029292,69,0.09505518739207318,6.643797070799998,0.9545454545454546,1.0,0.8281249999999999,0.9176136363636365
4,Manchester City,19,9,10,71,41,30,66,38,1.736842105263158,1.868421052631579,1.0789473684210527,614,64.5550554535,71,0.10513852679723128,6.444944546499997,1.0,0.8536585365853658,0.765625,0.8623475609756098
5,Manchester United,19,9,10,49,35,14,66,38,1.736842105263158,1.2894736842105263,0.9210526315789473,431,42.1985886025,49,0.0979085582424594,6.801411397499997,0.5,1.0,0.765625,0.75625
6,Southampton,18,9,11,59,41,18,63,38,1.6578947368421053,1.5526315789473684,1.0789473684210527,527,54.2232578082,59,0.1028904322736243,4.776742191799997,0.7272727272727272,0.8536585365853658,0.7187499999999999,0.7617793791574279
7,West Ham United,16,14,8,65,51,14,62,38,1.631578947368421,1.7105263157894737,1.3421052631578947,559,54.5265472509,65,0.09754301833792486,10.473452749099998,0.8636363636363636,0.6097560975609757,0.7031249999999999,0.7232677383592017
8,Liverpool,16,12,10,63,50,13,60,38,1.5789473684210527,1.6578947368421053,1.3157894736842106,635,58.3736570603,63,0.09192701899259842,4.626342939700002,0.8181818181818182,0.6341463414634145,0.6718749999999999,0.7044484478935698
9,Stoke City,14,9,15,41,55,-14,51,38,1.3421052631578947,1.0789473684210527,1.4473684210526316,425,40.3688437871,41,0.09498551479317646,0.6311562129000023,0.3181818181818182,0.5121951219512195,0.5312499999999999,0.46161308203991125
10,Chelsea,12,14,12,59,53,6,50,38,1.3157894736842106,1.5526315789473684,1.394736842105263,535,53.5799953292,59,0.1001495239798131,5.420004670799997,0.7272727272727272,0.5609756097560976,0.515625,0.5927245011086475
11,Everton,11,14,13,59,55,4,47,38,1.236842105263158,1.5526315789473684,1.4473684210526316,498,50.6147446276,59,0.10163603338875501,8.385255372400003,0.7272727272727272,0.5121951219512195,0.46874999999999994,0.559340354767184
12,Swansea City,12,11,15,42,52,-10,47,38,1.236842105263158,1.105263157894737,1.368421052631579,448,42.145182845899996,42,0.09407406885245535,-0.14518284589999553,0.340909090909091,0.5853658536585366,0.46874999999999994,0.46538248337028826
13,Watford,12,9,17,40,50,-10,45,38,1.1842105263157894,1.0526315789473684,1.3157894736842106,450,44.0821463227,40,0.09796032516155555,-4.082146322699998,0.2954545454545454,0.6341463414634145,0.4374999999999999,0.4538802660753879
14,West Bromwich Albion,10,13,15,34,48,-14,43,38,1.131578947368421,0.8947368421052632,1.263157894736842,396,38.6267824366,34,0.09754237989040404,-4.626782436600003,0.1590909090909091,0.6829268292682927,0.4062499999999999,0.4151053215077605
15,Crystal Palace,11,9,18,39,51,-12,42,38,1.105263157894737,1.0263157894736843,1.3421052631578947,477,42.3834959999,39,0.08885428930796646,-3.383495999899999,0.2727272727272728,0.6097560975609757,0.390625,0.4209950110864745
16,AFC Bournemouth,11,9,18,45,67,-22,42,38,1.105263157894737,1.1842105263157894,1.763157894736842,478,40.3515900006,45,0.08441755230251045,4.648409999400002,0.409090909090909,0.2195121951219513,0.390625,0.3448309312638581
17,Sunderland,9,12,17,48,62,-14,39,38,1.0263157894736843,1.263157894736842,1.631578947368421,451,42.4875824305,48,0.094207499845898,5.512417569500002,0.4772727272727272,0.3414634146341463,0.34375,0.3831208425720621
18,Newcastle United,9,10,19,44,65,-21,37,38,0.9736842105263158,1.1578947368421053,1.7105263157894737,404,40.665337452,44,0.10065677587128713,3.334662547999997,0.3863636363636364,0.2682926829268293,0.3125,0.3213968957871397
19,Norwich City,9,7,22,39,67,-28,34,38,0.8947368421052632,1.0263157894736843,1.763157894736842,424,38.8913271142,39,0.09172482809952831,0.10867288579999723,0.2727272727272728,0.2195121951219513,0.265625,0.2539218403547672
20,Aston Villa,3,8,27,27,76,-49,17,38,0.4473684210526316,0.7105263157894737,2.0,392,29.5810166938,27,0.07546177728010203,-2.5810166937999988,0.0,0.0,0.0,0.0
