Team,Player,x,y,xG,Distance,Outcome,Body Part,Shot Type
Arsenal,Aaron Ramsey,94.5,42.9,0.0388317,25.664372191814863,Blocked,Left Foot,Open Play
Chelsea,Francesc Fàbregas i Soler,93.5,48.4,0.031541128,27.79946042641835,Saved,Right Foot,Open Play
Arsenal,Alexis Alejandro Sánchez Sánchez,89.8,22.3,0.0066598873,35.00471396826433,Off T,Right Foot,Open Play
Chelsea,Diego da Silva Costa,98.2,26.0,0.022901611,25.908299828433357,Saved,Right Foot,Open Play
Arsenal,Theo Walcott,105.7,24.2,0.04974059,21.31032613546775,Saved,Right Foot,Open Play
Chelsea,Pedro Eliezer Rodríguez Ledesma,115.1,45.5,0.40097466,7.366138744281162,Saved,Right Foot,Open Play
Arsenal,Aaron Ramsey,103.9,23.5,0.023206672,23.05341623274086,Off T,Right Foot,Open Play
Chelsea,Kurt Happy Zouma,87.3,42.5,0.020537829,32.79542651041453,Off T,Right Foot,Open Play
Chelsea,Pedro Eliezer Rodríguez Ledesma,92.6,47.4,0.03388771,28.38168423473139,Off T,Right Foot,Open Play
Chelsea,Francesc Fàbregas i Soler,95.7,28.2,0.02670228,27.0135151359463,Blocked,Right Foot,Open Play
Chelsea,Francesc Fàbregas i Soler,109.7,35.7,0.070368364,11.161541112229974,Wayward,Head,Open Play
Chelsea,Branislav Ivanović,88.5,46.8,0.02306685,32.225610932921036,Blocked,Right Foot,Open Play
Chelsea,Pedro Eliezer Rodríguez Ledesma,97.0,39.6,0.051289365,23.003477997902838,Saved,Right Foot,Open Play
Chelsea,Pedro Eliezer Rodríguez Ledesma,106.2,50.0,0.047126833,17.042300314218146,Off T,Right Foot,Open Play
Arsenal,Alexis Alejandro Sánchez Sánchez,95.2,44.9,0.07817649,25.279438284898657,Blocked,Right Foot,Free Kick
Chelsea,Nemanja Matić,83.7,41.5,0.009548494,36.330978516962624,Blocked,Left Foot,Open Play
Chelsea,Kurt Happy Zouma,112.3,42.5,0.19744614,8.095677859203642,Goal,Head,Open Play
Chelsea,Eden Hazard,98.5,27.4,0.030608306,24.920072231034965,Saved,Right Foot,Open Play
Arsenal,Alexis Alejandro Sánchez Sánchez,112.9,47.6,0.097416475,10.400480758118825,Off T,Right Foot,Open Play
Arsenal,Theo Walcott,100.0,19.7,0.011941639,28.497192844208357,Off T,Right Foot,Open Play
Chelsea,Eden Hazard,102.0,52.6,0.04208766,21.971800108320668,Off T,Right Foot,Open Play
Chelsea,Diego da Silva Costa,109.6,33.8,0.08795297,12.107848694132256,Wayward,Left Foot,Open Play
Chelsea,Francesc Fàbregas i Soler,96.7,35.3,0.03997012,23.76930794112441,Blocked,Right Foot,Open Play
Chelsea,Pedro Eliezer Rodríguez Ledesma,96.1,41.9,0.070070244,23.975404063331244,Off T,Right Foot,Open Play
Arsenal,Theo Walcott,100.8,29.4,0.025204938,21.931712199461312,Blocked,Right Foot,Open Play
Chelsea,Nemanja Matić,94.9,33.8,0.03308965,25.854400012377,Blocked,Left Foot,Open Play
Chelsea,Eden Hazard,97.9,41.4,0.08022562,22.144299492194367,Blocked,Right Foot,Free Kick
Chelsea,Loïc Rémy,107.1,40.7,0.09379961,12.918978287774934,Blocked,Right Foot,Open Play
Chelsea,Eden Hazard,103.7,33.6,0.14941259,17.511424842085233,Blocked,Right Foot,Open Play
Arsenal,Theo Walcott,115.1,44.4,0.33881876,6.585590330410787,Wayward,Head,Open Play
Arsenal,Aaron Ramsey,109.7,41.5,0.1675297,10.408650248711403,Saved,Right Foot,Open Play
Chelsea,Ramires Santos do Nascimento,102.2,32.6,0.07621928,19.276929216034382,Blocked,Left Foot,Open Play
Chelsea,Branislav Ivanović,88.4,53.9,0.0061072973,34.52202195700593,Blocked,Right Foot,Open Play
Aston Villa,Scott Sinclair,98.1,54.3,0.04153543,26.155305389155757,Saved,Left Foot,Open Play
Arsenal,Olivier Giroud,108.3,40.2,0.7835,11.701709276853535,Goal,Left Foot,Penalty
Arsenal,Olivier Giroud,108.6,43.4,0.083645426,11.896217886370446,Blocked,Head,Open Play
Arsenal,Laurent Koscielny,111.6,33.8,0.057764526,10.440306508910558,Off T,Right Foot,Open Play
