Team,Shots,xG,Goals,xG_per_shot,Goals_minus_xG
AFC Bournemouth,478,40.3515900006,45,0.08441755230251045,4.648409999400002
Arsenal,583,65.08776943790001,65,0.11164282922452831,-0.08776943790000757
Aston Villa,392,29.5810166938,27,0.07546177728010203,-2.5810166937999988
Chelsea,535,53.5799953292,59,0.1001495239798131,5.420004670799997
Crystal Palace,477,42.3834959999,39,0.08885428930796646,-3.383495999899999
Everton,498,50.6147446276,59,0.10163603338875501,8.385255372400003
Leicester City,525,66.282170986,68,0.1262517542590476,1.717829014000003
Liverpool,635,58.3736570603,63,0.09192701899259842,4.626342939700002
Manchester City,614,64.5550554535,71,0.10513852679723128,6.444944546499997
Manchester United,431,42.1985886025,49,0.0979085582424594,6.801411397499997
Newcastle United,404,40.665337452,44,0.10065677587128713,3.334662547999997
Norwich City,424,38.8913271142,39,0.09172482809952831,0.10867288579999723
Southampton,527,54.2232578082,59,0.1028904322736243,4.776742191799997
Stoke City,425,40.3688437871,41,0.09498551479317646,0.6311562129000023
Sunderland,451,42.4875824305,48,0.094207499845898,5.512417569500002
Swansea City,448,42.145182845899996,42,0.09407406885245535,-0.14518284589999553
Tottenham Hotspur,656,62.3562029292,69,0.09505518739207318,6.643797070799998
Watford,450,44.0821463227,40,0.09796032516155555,-4.082146322699998
West Bromwich Albion,396,38.6267824366,34,0.09754237989040404,-4.626782436600003
West Ham United,559,54.5265472509,65,0.09754301833792486,10.473452749099998
